"sample_id","group","pH","EC","TOC","TN","TP","SO4","NO3","Sb_total","Sb_III","Sb_V","As","Cu","Zn","Cd","Fe","Mn","MetalRes","Sulfur","Nitrogen","Carbon","Chao1","Shannon","Simpson","Pielou"
"M03","Mining",5.94995393339752,383.108820977605,25.8309642645531,2.71064097431359,0.992853755867793,147.780770236856,18.109939255208,17.1634,5.0258,11.97,16.582098269466,98.8308452018513,121.699641774381,1.06117727150365,23.9689914083687,0.677942518897907,0.241117318435754,0.289162011173184,0.134972067039106,0.0493854748603352,153,4.53876076719706,0.985020679449325,0.904625796211989
"M04","Mining",5.81483361816538,370.774362105212,28.8359563196823,2.19254753618484,0.810149602996912,199.361348395824,16.3195831991743,17.4845,5.1014,12.0914,16.7252675671404,79.711317157609,124.540104543927,1.01378091398698,25.243953373017,0.673893094195933,0.239659231027912,0.31050330680417,0.131711691514404,0.0428203116242574,154.125,4.53778042393057,0.984824827315206,0.904430402831836
"M05","Mining",6.10563924727167,341.665572857127,31.052422309829,2.30223537572051,0.858206702598613,214.29775534509,13.3260479814857,17.5557,4.6045,12.773,17.9836228358864,82.3604092373808,143.378913022056,1.09184689978005,26.4689060753998,0.723522233324315,0.25278024911032,0.305160142348754,0.132339857651246,0.0442615658362989,153.25,4.56123663549481,0.985494255769335,0.909105488202225
"M06","Mining",5.97307042368589,370.55333816784,24.8210095668297,2.15942113370038,0.875438171383524,175.542300108016,17.6052556201827,17.4507,4.6823,12.7971,16.1229669012861,75.6082817398534,121.912634624399,1.07230027782148,22.8864255473838,0.655098259474948,0.245960908371935,0.298497344932776,0.132640379618122,0.0463224494407412,153,4.5306135109254,0.984600698929504,0.903001956893344
"S01","Smelting",6.24201203113629,372.757709963731,19.0139152154902,1.92341522105361,0.861945577456716,255.133457727173,22.7737001685038,24.7211,6.689,18.3282,21.8489706867078,108.484873561574,150.704394518938,1.55765554470782,24.2403792551194,0.836362782702645,0.242255204701664,0.353222432513199,0.0925390975196733,0.0395457714911844,159.166666666667,4.46281729596264,0.982866747727419,0.889489412812129
"S02","Smelting",5.85671323595087,383.228819508251,25.1728274266266,1.9979087954167,0.94963097047317,209.385452087658,14.1758861257795,24.282,7.495,16.6811,17.8962954863692,106.846038222672,151.25510922345,1.44199267503075,27.851013493462,0.79087010577055,0.253783353245719,0.355436081242533,0.0912982875348467,0.0411190760653126,154.333333333333,4.47543280645508,0.983102741525099,0.892003825183525
"S03","Smelting",5.77348373998452,345.549932167645,23.1399647620098,1.75717949996163,0.940679000988658,242.151746427668,22.6292928055279,25.4951,7.7602,17.0629,21.3639501685735,80.8416477004156,154.174604183301,1.29106677716622,28.9160670776568,0.919521563426553,0.249660523763337,0.378370514064016,0.0863239573229874,0.0372453928225024,152.882352941176,4.49722719087604,0.983788791018439,0.896347689813326
"S04","Smelting",6.0849442589193,369.565297594958,20.8294540089709,1.68098276266607,0.880683159570061,240.433992637239,7.83290067325712,26.3181,6.8321,18.5928,18.3124065078954,96.4016860533953,146.66790141199,1.32853162641009,26.7911772837734,0.875848551894672,0.251614797416324,0.340771188099432,0.0917009199451947,0.0436484634957917,154.53125,4.48269177182153,0.983308050741587,0.892276747669631
"S05","Smelting",5.84134463470188,367.624324936331,26.9779253476502,1.74131512917279,1.04133351570757,265.296757939594,22.7121666125858,25.409,6.9062,17.8915,20.2644556824214,102.967777451078,153.321499848184,1.26791142061088,27.3599221740162,0.890889896705783,0.246465043205027,0.373428908091123,0.0850353495679497,0.043401413982718,157.035714285714,4.46043934510017,0.982913549488249,0.889015460603
"S06","Smelting",5.87490149891262,405.196681207748,24.0996370572873,2.07929238149826,0.886888244795864,266.842147779869,11.1764958848931,27.2872,7.2337,19.1758,20.4209700722964,102.84436661386,155.576989426168,1.44564797750283,27.7857983754223,0.790393908241423,0.24197131892547,0.362149060795799,0.0847303575035346,0.0368612401535043,155.033333333333,4.48764994375968,0.983640180622588,0.894438837321965
