"feature_id","C01","C02","C03","C04","C05","C06","T01","T02","T03","T04","T05","T06","M01","M02","M03","M04","M05","M06","S01","S02","S03","S04","S05","S06"
"ASV066",103,123,130,101,95,96,112,109,108,137,100,121,102,106,103,106,79,79,119,87,90,111,101,123
"ASV067",1473,1636,1708,1553,1377,1576,258,263,316,308,308,260,355,355,282,262,342,323,289,258,227,270,355,307
"ASV068",243,272,254,344,244,227,1295,1749,1294,1335,1578,1415,303,259,267,268,303,314,361,300,304,308,280,246
"ASV069",325,387,376,330,292,249,338,270,229,285,317,299,2051,2247,1815,2171,2125,1756,323,287,377,302,277,308
"ASV070",180,176,140,195,192,173,157,160,165,226,147,202,148,155,150,152,180,179,1155,1355,1081,1445,1345,1450
"ASV071",718,586,551,565,606,576,532,768,580,595,605,694,622,617,623,752,711,593,712,684,819,713,936,834
"ASV072",19,28,33,29,25,32,24,27,24,32,34,38,33,36,25,34,26,35,34,30,38,17,34,25
"ASV073",1855,1895,2045,1647,1678,1804,295,398,270,322,334,347,376,336,317,348,356,375,331,280,278,266,305,279
"ASV074",110,157,123,143,156,134,652,715,777,602,661,588,125,149,123,154,131,144,143,107,116,135,184,149
"ASV075",112,108,98,115,80,121,95,123,116,131,104,104,590,675,774,743,778,666,117,88,111,128,117,107
"ASV076",317,267,327,314,290,371,276,360,290,332,241,284,302,265,263,254,236,241,2313,2497,1920,2034,2407,2342
"ASV077",528,575,548,559,451,545,503,650,518,488,450,489,518,718,671,616,669,508,648,691,578,719,580,728
"ASV078",81,87,83,94,71,100,81,95,93,105,97,109,76,75,97,79,72,114,94,94,105,59,97,82
"ASV079",1165,1389,1132,1325,1177,1138,212,242,199,248,221,221,266,225,220,257,248,235,225,184,196,234,226,205
"ASV080",226,292,326,310,251,329,1412,1557,1658,1371,1507,1566,392,307,294,296,284,313,302,307,254,359,372,321
"ASV081",93,100,90,97,125,111,87,85,109,84,108,86,614,762,564,566,658,765,110,126,100,113,130,150
"ASV082",152,136,131,119,115,125,131,143,143,114,161,112,151,118,154,111,151,184,1094,1152,887,813,1107,978
"ASV083",300,284,284,300,239,257,303,317,286,370,394,338,397,328,320,311,306,312,384,316,323,366,309,360
"ASV084",38,47,57,44,50,55,40,37,39,38,38,43,39,56,51,49,36,39,49,57,58,38,43,37
"ASV085",625,610,488,614,612,491,112,115,101,82,88,83,94,78,93,107,97,132,96,129,101,136,73,88
"ASV086",131,139,130,126,92,120,713,728,713,634,798,559,114,108,127,129,145,110,133,121,151,167,108,136
"ASV087",294,314,348,260,293,296,258,233,272,285,247,261,1816,1757,1804,1613,1781,1433,239,328,302,267,289,329
"ASV088",313,317,283,376,401,312,262,295,399,340,290,280,345,338,403,306,349,290,2000,2372,2156,2040,2312,2643
"ASV089",336,444,306,370,364,374,468,472,404,426,462,344,399,508,496,455,357,422,384,508,432,507,368,458
"ASV090",52,56,44,56,71,66,65,64,63,68,64,61,54,60,46,67,59,60,60,57,61,69,71,65
"ASV091",1985,1767,1925,1774,1719,1651,328,299,342,283,347,385,371,268,365,356,336,307,303,364,354,273,307,306
"ASV092",190,262,223,199,270,276,1351,1395,1128,1387,1156,1212,214,223,226,264,264,268,291,230,197,226,197,285
"ASV093",192,204,216,210,257,211,239,238,274,311,237,257,1513,1725,1693,1465,1813,1758,293,284,244,209,240,271
"ASV094",74,65,79,90,95,93,81,70,77,69,81,66,86,63,74,90,84,74,496,525,465,589,576,597
"ASV095",242,229,278,370,331,234,299,265,222,313,362,298,343,350,305,370,346,285,305,344,306,339,303,363
"ASV096",46,49,39,48,51,62,51,49,44,49,49,55,56,56,57,43,43,52,53,59,37,46,42,58
