"gene_id","feature_id","sample_id","annotation_source","function_category","pathway","ko_id","count","abundance"
"gene_004","ASV019","S01","SulfurCycle","Sulfur cycling","Dissimilatory sulfur metabolism","K11180",322,0.04345479
"gene_004","ASV019","S02","SulfurCycle","Sulfur cycling","Dissimilatory sulfur metabolism","K11180",221,0.02909426
"gene_004","ASV019","S03","SulfurCycle","Sulfur cycling","Dissimilatory sulfur metabolism","K11180",283,0.03778371
"gene_004","ASV019","S04","SulfurCycle","Sulfur cycling","Dissimilatory sulfur metabolism","K11180",326,0.04227178
"gene_004","ASV019","S05","SulfurCycle","Sulfur cycling","Dissimilatory sulfur metabolism","K11180",259,0.03425926
"gene_004","ASV019","S06","SulfurCycle","Sulfur cycling","Dissimilatory sulfur metabolism","K11180",358,0.04822198
"gene_005","ASV024","C01","NitrogenCycle","Nitrogen cycling","Nitrification and denitrification","K00370",148,0.02697776
"gene_005","ASV024","C02","NitrogenCycle","Nitrogen cycling","Nitrification and denitrification","K00370",91,0.01683938
"gene_005","ASV024","C03","NitrogenCycle","Nitrogen cycling","Nitrification and denitrification","K00370",144,0.02661246
"gene_005","ASV024","C04","NitrogenCycle","Nitrogen cycling","Nitrification and denitrification","K00370",107,0.0197126
"gene_005","ASV024","C05","NitrogenCycle","Nitrogen cycling","Nitrification and denitrification","K00370",154,0.02883355
"gene_005","ASV024","C06","NitrogenCycle","Nitrogen cycling","Nitrification and denitrification","K00370",73,0.01421893
"gene_005","ASV024","T01","NitrogenCycle","Nitrogen cycling","Nitrification and denitrification","K00370",102,0.01889939
"gene_005","ASV024","T02","NitrogenCycle","Nitrogen cycling","Nitrification and denitrification","K00370",50,0.00946253
"gene_005","ASV024","T03","NitrogenCycle","Nitrogen cycling","Nitrification and denitrification","K00370",86,0.01622948
"gene_005","ASV024","T04","NitrogenCycle","Nitrogen cycling","Nitrification and denitrification","K00370",65,0.012641
"gene_005","ASV024","T05","NitrogenCycle","Nitrogen cycling","Nitrification and denitrification","K00370",89,0.0163633
"gene_005","ASV024","T06","NitrogenCycle","Nitrogen cycling","Nitrification and denitrification","K00370",71,0.01303949
"gene_005","ASV024","M01","NitrogenCycle","Nitrogen cycling","Nitrification and denitrification","K00370",88,0.01363707
"gene_005","ASV024","M02","NitrogenCycle","Nitrogen cycling","Nitrification and denitrification","K00370",78,0.01157957
"gene_005","ASV024","M03","NitrogenCycle","Nitrogen cycling","Nitrification and denitrification","K00370",96,0.01444913
"gene_005","ASV024","M04","NitrogenCycle","Nitrogen cycling","Nitrification and denitrification","K00370",78,0.01177181
"gene_005","ASV024","M05","NitrogenCycle","Nitrogen cycling","Nitrification and denitrification","K00370",77,0.0116596
"gene_005","ASV024","M06","NitrogenCycle","Nitrogen cycling","Nitrification and denitrification","K00370",88,0.01369437
"gene_005","ASV024","S01","NitrogenCycle","Nitrogen cycling","Nitrification and denitrification","K00370",66,0.00890688
"gene_005","ASV024","S02","NitrogenCycle","Nitrogen cycling","Nitrification and denitrification","K00370",61,0.00803054
"gene_005","ASV024","S03","NitrogenCycle","Nitrogen cycling","Nitrification and denitrification","K00370",84,0.01121495
"gene_005","ASV024","S04","NitrogenCycle","Nitrogen cycling","Nitrification and denitrification","K00370",54,0.00700207
"gene_005","ASV024","S05","NitrogenCycle","Nitrogen cycling","Nitrification and denitrification","K00370",61,0.00806878
"gene_005","ASV024","S06","NitrogenCycle","Nitrogen cycling","Nitrification and denitrification","K00370",73,0.00983297
"gene_006","ASV014","C01","CarbonCycle","Carbon cycling","Organic carbon degradation","K01190",151,0.02752461
"gene_006","ASV014","C02","CarbonCycle","Carbon cycling","Organic carbon degradation","K01190",188,0.03478905
"gene_006","ASV014","C03","CarbonCycle","Carbon cycling","Organic carbon degradation","K01190",120,0.02217705
"gene_006","ASV014","C04","CarbonCycle","Carbon cycling","Organic carbon degradation","K01190",141,0.02597642
"gene_006","ASV014","C05","CarbonCycle","Carbon cycling","Organic carbon degradation","K01190",193,0.03613556
"gene_006","ASV014","C06","CarbonCycle","Carbon cycling","Organic carbon degradation","K01190",111,0.02162057
"gene_006","ASV014","T01","CarbonCycle","Carbon cycling","Organic carbon degradation","K01190",77,0.01426719
"gene_006","ASV014","T02","CarbonCycle","Carbon cycling","Organic carbon degradation","K01190",108,0.02043906
"gene_006","ASV014","T03","CarbonCycle","Carbon cycling","Organic carbon degradation","K01190",82,0.01547462
"gene_006","ASV014","T04","CarbonCycle","Carbon cycling","Organic carbon degradation","K01190",110,0.02139245
"gene_006","ASV014","T05","CarbonCycle","Carbon cycling","Organic carbon degradation","K01190",101,0.01856959
"gene_006","ASV014","T06","CarbonCycle","Carbon cycling","Organic carbon degradation","K01190",111,0.02038567
"gene_006","ASV014","M01","CarbonCycle","Carbon cycling","Organic carbon degradation","K01190",71,0.01100263
"gene_006","ASV014","M02","CarbonCycle","Carbon cycling","Organic carbon degradation","K01190",114,0.01692399
"gene_006","ASV014","M03","CarbonCycle","Carbon cycling","Organic carbon degradation","K01190",98,0.01475015
"gene_006","ASV014","M04","CarbonCycle","Carbon cycling","Organic carbon degradation","K01190",72,0.01086628
"gene_006","ASV014","M05","CarbonCycle","Carbon cycling","Organic carbon degradation","K01190",105,0.01589945
"gene_006","ASV014","M06","CarbonCycle","Carbon cycling","Organic carbon degradation","K01190",87,0.01353875
"gene_006","ASV014","S01","CarbonCycle","Carbon cycling","Organic carbon degradation","K01190",87,0.01174089
"gene_006","ASV014","S02","CarbonCycle","Carbon cycling","Organic carbon degradation","K01190",66,0.00868878
"gene_006","ASV014","S03","CarbonCycle","Carbon cycling","Organic carbon degradation","K01190",113,0.01508678
"gene_006","ASV014","S04","CarbonCycle","Carbon cycling","Organic carbon degradation","K01190",126,0.01633817
"gene_006","ASV014","S05","CarbonCycle","Carbon cycling","Organic carbon degradation","K01190",76,0.01005291
"gene_006","ASV014","S06","CarbonCycle","Carbon cycling","Organic carbon degradation","K01190",113,0.01522091
"gene_007","ASV051","C01","KEGG","Energy metabolism","Oxidative phosphorylation","K02111",40,0.00729129
"gene_007","ASV051","C02","KEGG","Energy metabolism","Oxidative phosphorylation","K02111",44,0.00814212
"gene_007","ASV051","C03","KEGG","Energy metabolism","Oxidative phosphorylation","K02111",49,0.00905563
"gene_007","ASV051","C04","KEGG","Energy metabolism","Oxidative phosphorylation","K02111",33,0.00607959
"gene_007","ASV051","C05","KEGG","Energy metabolism","Oxidative phosphorylation","K02111",31,0.00580416
"gene_007","ASV051","C06","KEGG","Energy metabolism","Oxidative phosphorylation","K02111",46,0.00895988
"gene_007","ASV051","T01","KEGG","Energy metabolism","Oxidative phosphorylation","K02111",33,0.00611451
"gene_007","ASV051","T02","KEGG","Energy metabolism","Oxidative phosphorylation","K02111",51,0.00965178
"gene_007","ASV051","T03","KEGG","Energy metabolism","Oxidative phosphorylation","K02111",27,0.0050953
"gene_007","ASV051","T04","KEGG","Energy metabolism","Oxidative phosphorylation","K02111",32,0.00622326
"gene_007","ASV051","T05","KEGG","Energy metabolism","Oxidative phosphorylation","K02111",25,0.00459643
"gene_007","ASV051","T06","KEGG","Energy metabolism","Oxidative phosphorylation","K02111",56,0.01028466
"gene_007","ASV051","M01","KEGG","Energy metabolism","Oxidative phosphorylation","K02111",31,0.00480397
"gene_007","ASV051","M02","KEGG","Energy metabolism","Oxidative phosphorylation","K02111",30,0.00445368
"gene_007","ASV051","M03","KEGG","Energy metabolism","Oxidative phosphorylation","K02111",34,0.0051174
"gene_007","ASV051","M04","KEGG","Energy metabolism","Oxidative phosphorylation","K02111",34,0.0051313
"gene_007","ASV051","M05","KEGG","Energy metabolism","Oxidative phosphorylation","K02111",49,0.00741975
"gene_007","ASV051","M06","KEGG","Energy metabolism","Oxidative phosphorylation","K02111",41,0.00638033
"gene_007","ASV051","S01","KEGG","Energy metabolism","Oxidative phosphorylation","K02111",33,0.00445344
"gene_007","ASV051","S02","KEGG","Energy metabolism","Oxidative phosphorylation","K02111",40,0.00526593
"gene_007","ASV051","S03","KEGG","Energy metabolism","Oxidative phosphorylation","K02111",45,0.00600801
"gene_007","ASV051","S04","KEGG","Energy metabolism","Oxidative phosphorylation","K02111",31,0.00401971
"gene_007","ASV051","S05","KEGG","Energy metabolism","Oxidative phosphorylation","K02111",35,0.00462963
"gene_007","ASV051","S06","KEGG","Energy metabolism","Oxidative phosphorylation","K02111",38,0.00511853
"gene_008","ASV013","C01","FAPROTAX","Element cycling","Aerobic chemoheterotrophy","FAP001",47,0.00856726
"gene_008","ASV013","C02","FAPROTAX","Element cycling","Aerobic chemoheterotrophy","FAP001",44,0.00814212
"gene_008","ASV013","C03","FAPROTAX","Element cycling","Aerobic chemoheterotrophy","FAP001",66,0.01219738
"gene_008","ASV013","C04","FAPROTAX","Element cycling","Aerobic chemoheterotrophy","FAP001",70,0.01289609
"gene_008","ASV013","C05","FAPROTAX","Element cycling","Aerobic chemoheterotrophy","FAP001",46,0.00861262
"gene_008","ASV013","C06","FAPROTAX","Element cycling","Aerobic chemoheterotrophy","FAP001",79,0.01538761
"gene_008","ASV013","T01","FAPROTAX","Element cycling","Aerobic chemoheterotrophy","FAP001",60,0.01111729
"gene_008","ASV013","T02","FAPROTAX","Element cycling","Aerobic chemoheterotrophy","FAP001",60,0.01135503
"gene_008","ASV013","T03","FAPROTAX","Element cycling","Aerobic chemoheterotrophy","FAP001",50,0.00943574
"gene_008","ASV013","T04","FAPROTAX","Element cycling","Aerobic chemoheterotrophy","FAP001",71,0.01380786
"gene_008","ASV013","T05","FAPROTAX","Element cycling","Aerobic chemoheterotrophy","FAP001",79,0.01452473
"gene_008","ASV013","T06","FAPROTAX","Element cycling","Aerobic chemoheterotrophy","FAP001",70,0.01285583
"gene_008","ASV013","M01","FAPROTAX","Element cycling","Aerobic chemoheterotrophy","FAP001",43,0.00666357
"gene_008","ASV013","M02","FAPROTAX","Element cycling","Aerobic chemoheterotrophy","FAP001",69,0.01024347
"gene_008","ASV013","M03","FAPROTAX","Element cycling","Aerobic chemoheterotrophy","FAP001",52,0.00782661
"gene_008","ASV013","M04","FAPROTAX","Element cycling","Aerobic chemoheterotrophy","FAP001",47,0.00709327
"gene_008","ASV013","M05","FAPROTAX","Element cycling","Aerobic chemoheterotrophy","FAP001",63,0.00953967
"gene_008","ASV013","M06","FAPROTAX","Element cycling","Aerobic chemoheterotrophy","FAP001",82,0.01276066
"gene_008","ASV013","S01","FAPROTAX","Element cycling","Aerobic chemoheterotrophy","FAP001",66,0.00890688
"gene_008","ASV013","S02","FAPROTAX","Element cycling","Aerobic chemoheterotrophy","FAP001",47,0.00618747
"gene_008","ASV013","S03","FAPROTAX","Element cycling","Aerobic chemoheterotrophy","FAP001",55,0.00734312
"gene_008","ASV013","S04","FAPROTAX","Element cycling","Aerobic chemoheterotrophy","FAP001",60,0.00778008
"gene_008","ASV013","S05","FAPROTAX","Element cycling","Aerobic chemoheterotrophy","FAP001",47,0.00621693
"gene_008","ASV013","S06","FAPROTAX","Element cycling","Aerobic chemoheterotrophy","FAP001",56,0.0075431
"gene_009","ASV069","C01","BacMet","Metal resistance","Metal efflux and detoxification","BMR001",79,0.01440029
"gene_009","ASV069","C02","BacMet","Metal resistance","Metal efflux and detoxification","BMR001",111,0.02054034
"gene_009","ASV069","C03","BacMet","Metal resistance","Metal efflux and detoxification","BMR001",95,0.01755683
"gene_009","ASV069","C04","BacMet","Metal resistance","Metal efflux and detoxification","BMR001",97,0.0178703
"gene_009","ASV069","C05","BacMet","Metal resistance","Metal efflux and detoxification","BMR001",103,0.01928478
"gene_009","ASV069","C06","BacMet","Metal resistance","Metal efflux and detoxification","BMR001",123,0.02395793
"gene_009","ASV069","T01","BacMet","Metal resistance","Metal efflux and detoxification","BMR001",146,0.02705207
"gene_009","ASV069","T02","BacMet","Metal resistance","Metal efflux and detoxification","BMR001",131,0.02479182
"gene_009","ASV069","T03","BacMet","Metal resistance","Metal efflux and detoxification","BMR001",173,0.03264767
"gene_009","ASV069","T04","BacMet","Metal resistance","Metal efflux and detoxification","BMR001",183,0.03558926
"gene_009","ASV069","T05","BacMet","Metal resistance","Metal efflux and detoxification","BMR001",156,0.02868174
"gene_009","ASV069","T06","BacMet","Metal resistance","Metal efflux and detoxification","BMR001",196,0.03599633
"gene_009","ASV069","M01","BacMet","Metal resistance","Metal efflux and detoxification","BMR001",168,0.0260344
"gene_009","ASV069","M02","BacMet","Metal resistance","Metal efflux and detoxification","BMR001",247,0.03666865
"gene_009","ASV069","M03","BacMet","Metal resistance","Metal efflux and detoxification","BMR001",200,0.03010235
"gene_009","ASV069","M04","BacMet","Metal resistance","Metal efflux and detoxification","BMR001",165,0.0249019
"gene_009","ASV069","M05","BacMet","Metal resistance","Metal efflux and detoxification","BMR001",246,0.03725015
"gene_009","ASV069","M06","BacMet","Metal resistance","Metal efflux and detoxification","BMR001",228,0.03548086
"gene_009","ASV069","S01","BacMet","Metal resistance","Metal efflux and detoxification","BMR001",209,0.02820513
"gene_009","ASV069","S02","BacMet","Metal resistance","Metal efflux and detoxification","BMR001",285,0.03751975
"gene_009","ASV069","S03","BacMet","Metal resistance","Metal efflux and detoxification","BMR001",296,0.03951936
"gene_009","ASV069","S04","BacMet","Metal resistance","Metal efflux and detoxification","BMR001",222,0.02878631
"gene_009","ASV069","S05","BacMet","Metal resistance","Metal efflux and detoxification","BMR001",312,0.04126984
"gene_009","ASV069","S06","BacMet","Metal resistance","Metal efflux and detoxification","BMR001",262,0.03529095
"gene_010","ASV008","C01","SulfurCycle","Sulfur cycling","Dissimilatory sulfur metabolism","K11180",35,0.00637988
"gene_010","ASV008","C02","SulfurCycle","Sulfur cycling","Dissimilatory sulfur metabolism","K11180",34,0.00629164
"gene_010","ASV008","C03","SulfurCycle","Sulfur cycling","Dissimilatory sulfur metabolism","K11180",39,0.00720754
"gene_010","ASV008","C04","SulfurCycle","Sulfur cycling","Dissimilatory sulfur metabolism","K11180",55,0.01013265
"gene_010","ASV008","C05","SulfurCycle","Sulfur cycling","Dissimilatory sulfur metabolism","K11180",42,0.0078637
"gene_010","ASV008","C06","SulfurCycle","Sulfur cycling","Dissimilatory sulfur metabolism","K11180",45,0.0087651
"gene_010","ASV008","T01","SulfurCycle","Sulfur cycling","Dissimilatory sulfur metabolism","K11180",53,0.00982027
"gene_010","ASV008","T02","SulfurCycle","Sulfur cycling","Dissimilatory sulfur metabolism","K11180",65,0.01230129
"gene_010","ASV008","T03","SulfurCycle","Sulfur cycling","Dissimilatory sulfur metabolism","K11180",79,0.01490847
"gene_010","ASV008","T04","SulfurCycle","Sulfur cycling","Dissimilatory sulfur metabolism","K11180",53,0.01030727
"gene_010","ASV008","T05","SulfurCycle","Sulfur cycling","Dissimilatory sulfur metabolism","K11180",47,0.00864129
"gene_010","ASV008","T06","SulfurCycle","Sulfur cycling","Dissimilatory sulfur metabolism","K11180",61,0.01120294
"gene_010","ASV008","M01","SulfurCycle","Sulfur cycling","Dissimilatory sulfur metabolism","K11180",117,0.0181311
"gene_010","ASV008","M02","SulfurCycle","Sulfur cycling","Dissimilatory sulfur metabolism","K11180",110,0.01633017
"gene_010","ASV008","M03","SulfurCycle","Sulfur cycling","Dissimilatory sulfur metabolism","K11180",98,0.01475015
"gene_010","ASV008","M04","SulfurCycle","Sulfur cycling","Dissimilatory sulfur metabolism","K11180",104,0.01569574
"gene_010","ASV008","M05","SulfurCycle","Sulfur cycling","Dissimilatory sulfur metabolism","K11180",89,0.01347668
"gene_010","ASV008","M06","SulfurCycle","Sulfur cycling","Dissimilatory sulfur metabolism","K11180",104,0.01618425
"gene_010","ASV008","S01","SulfurCycle","Sulfur cycling","Dissimilatory sulfur metabolism","K11180",109,0.01470985
"gene_010","ASV008","S02","SulfurCycle","Sulfur cycling","Dissimilatory sulfur metabolism","K11180",134,0.01764086
"gene_010","ASV008","S03","SulfurCycle","Sulfur cycling","Dissimilatory sulfur metabolism","K11180",106,0.0141522
"gene_010","ASV008","S04","SulfurCycle","Sulfur cycling","Dissimilatory sulfur metabolism","K11180",91,0.01179979
"gene_010","ASV008","S05","SulfurCycle","Sulfur cycling","Dissimilatory sulfur metabolism","K11180",100,0.01322751
"gene_010","ASV008","S06","SulfurCycle","Sulfur cycling","Dissimilatory sulfur metabolism","K11180",94,0.01266164
"gene_011","ASV067","C01","NitrogenCycle","Nitrogen cycling","Nitrification and denitrification","K00370",120,0.02187386
"gene_011","ASV067","C02","NitrogenCycle","Nitrogen cycling","Nitrification and denitrification","K00370",111,0.02054034
"gene_011","ASV067","C03","NitrogenCycle","Nitrogen cycling","Nitrification and denitrification","K00370",106,0.01958972
"gene_011","ASV067","C04","NitrogenCycle","Nitrogen cycling","Nitrification and denitrification","K00370",91,0.01676492
"gene_011","ASV067","C05","NitrogenCycle","Nitrogen cycling","Nitrification and denitrification","K00370",80,0.01497847
"gene_011","ASV067","C06","NitrogenCycle","Nitrogen cycling","Nitrification and denitrification","K00370",94,0.01830931
"gene_011","ASV067","T01","NitrogenCycle","Nitrogen cycling","Nitrification and denitrification","K00370",84,0.0155642
"gene_011","ASV067","T02","NitrogenCycle","Nitrogen cycling","Nitrification and denitrification","K00370",59,0.01116578
"gene_011","ASV067","T03","NitrogenCycle","Nitrogen cycling","Nitrification and denitrification","K00370",74,0.0139649
"gene_011","ASV067","T04","NitrogenCycle","Nitrogen cycling","Nitrification and denitrification","K00370",57,0.01108518
"gene_011","ASV067","T05","NitrogenCycle","Nitrogen cycling","Nitrification and denitrification","K00370",76,0.01397316
"gene_011","ASV067","T06","NitrogenCycle","Nitrogen cycling","Nitrification and denitrification","K00370",50,0.00918274
"gene_011","ASV067","M01","NitrogenCycle","Nitrogen cycling","Nitrification and denitrification","K00370",57,0.0088331
"gene_011","ASV067","M02","NitrogenCycle","Nitrogen cycling","Nitrification and denitrification","K00370",85,0.01261876
"gene_011","ASV067","M03","NitrogenCycle","Nitrogen cycling","Nitrification and denitrification","K00370",59,0.00888019
"gene_011","ASV067","M04","NitrogenCycle","Nitrogen cycling","Nitrification and denitrification","K00370",89,0.01343193
