"source","target","correlation","abs_correlation","p_value","p_adjust","association"
"Clostridium","Cu",0.698260869565217,0.698260869565217,0.000148036020747874,0.000592144082991496,"positive"
"Clostridium","Zn",0.746086956521739,0.746086956521739,2.84322625946709e-05,0.000346202055324008,"positive"
"Clostridium","Cd",0.756521739130435,0.756521739130435,1.89039434304064e-05,0.000346202055324008,"positive"
"Blastocatella","SO4",0.631304347826087,0.631304347826087,0.000938891152861908,0.00312963717620636,"positive"
"Blastocatella","Sb_total",0.666086956521739,0.666086956521739,0.000380583166403822,0.00140214850780355,"positive"
"Blastocatella","As",0.649565217391304,0.649565217391304,0.000592587629355937,0.00202346995389832,"positive"
"Blastocatella","Cu",0.671304347826087,0.671304347826087,0.00032906556873774,0.00124511296279145,"positive"
"Blastocatella","Zn",0.654782608695652,0.654782608695652,0.000516719100681468,0.00180851685238514,"positive"
"Blastocatella","Cd",0.654782608695652,0.654782608695652,0.000516719100681468,0.00180851685238514,"positive"
"Bradyrhizobium","pH",0.561739130434783,0.561739130434783,0.00428314044321915,0.0101633841025539,"positive"
"Bradyrhizobium","EC",-0.585217391304348,0.585217391304348,0.00266423253571701,0.0070375953773657,"negative"
"Bradyrhizobium","TOC",0.575652173913043,0.575652173913043,0.00324644288725635,0.00826082956259117,"positive"
"Bradyrhizobium","SO4",-0.72,0.72,7.28590253732779e-05,0.000420263017054496,"negative"
"Bradyrhizobium","Sb_total",-0.719130434782609,0.719130434782609,7.504696733116e-05,0.000420263017054496,"negative"
"Bradyrhizobium","As",-0.744347826086956,0.744347826086956,3.03767094991192e-05,0.000346202055324008,"negative"
"Bradyrhizobium","Cu",-0.726086956521739,0.726086956521739,5.90481176374774e-05,0.000393654117583183,"negative"
"Bradyrhizobium","Zn",-0.700869565217391,0.700869565217391,0.000136405472399863,0.000561669592234728,"negative"
"Bradyrhizobium","Cd",-0.714782608695652,0.714782608695652,8.68738011432349e-05,0.000434369005716174,"negative"
"Ktedonobacter","pH",-0.591304347826087,0.591304347826087,0.00234195302225076,0.0066912943492879,"negative"
"Ktedonobacter","EC",0.602608695652174,0.602608695652174,0.00183079267306979,0.0055594927392683,"positive"
"Ktedonobacter","TOC",-0.585217391304348,0.585217391304348,0.00266423253571701,0.0070375953773657,"negative"
"Ktedonobacter","SO4",0.724347826086956,0.724347826086956,6.2737252960442e-05,0.000399237064293722,"positive"
"Ktedonobacter","Sb_total",0.757391304347826,0.757391304347826,1.82553317090713e-05,0.000346202055324008,"positive"
"Ktedonobacter","As",0.72695652173913,0.72695652173913,5.72760520999304e-05,0.000393654117583183,"positive"
"Ktedonobacter","Cu",0.710434782608696,0.710434782608696,0.000100303057660519,0.000468080935749087,"positive"
"Ktedonobacter","Zn",0.720869565217391,0.720869565217391,7.07272370142215e-05,0.000420263017054496,"positive"
"Ktedonobacter","Cd",0.749565217391304,0.749565217391304,2.48695503986746e-05,0.000346202055324008,"positive"
