"node","label","node_label","node_class","abd","x","y","angle"
85,"o__Flavobacteriales","o__Flavobacteriales","o",3.92942427824952,4,23,217.894736842105
86,"f__Flavobacteriaceae","f__Flavobacteriaceae","f",3.92942427824952,5,23,217.894736842105
87,"o__Sphingobacteriales","o__Sphingobacteriales","o",2.09411215485788,4,24,227.368421052632
88,"f__Sphingobacteriaceae","f__Sphingobacteriaceae","f",2.09411215485788,5,24,227.368421052632
89,"c__Chitinophagia","c__Chitinophagia","c",3.34571487768103,3,20.5,194.210526315789
90,"o__Chitinophagales","o__Chitinophagales","o",3.34571487768103,4,20.5,194.210526315789
91,"f__Chitinophagaceae","f__Chitinophagaceae","f",3.34571487768103,5,20.5,194.210526315789
92,"p__Chloroflexi","p__Chloroflexi","p",10.342042137896,2,7.16666666666667,67.8947368421053
93,"c__Anaerolineae","c__Anaerolineae","c",3.73791206244677,3,8.5,80.5263157894737
94,"o__Anaerolineales","o__Anaerolineales","o",3.73791206244677,4,8.5,80.5263157894737
95,"f__Anaerolineaceae","f__Anaerolineaceae","f",0.329814362429633,5,8,75.7894736842105
96,"f__Caldilineaceae","f__Caldilineaceae","f",3.40809770001714,5,9,85.2631578947368
97,"c__Ktedonobacteria","c__Ktedonobacteria","c",2.69099416308641,3,6,56.8421052631579
98,"o__Ktedonobacterales","o__Ktedonobacterales","o",2.69099416308641,4,6,56.8421052631579
99,"f__Ktedonobacteraceae","f__Ktedonobacteraceae","f",2.69099416308641,5,6,56.8421052631579
100,"c__Thermomicrobia","c__Thermomicrobia","c",3.91313591236281,3,7,66.3157894736842
101,"o__Thermomicrobiales","o__Thermomicrobiales","o",3.91313591236281,4,7,66.3157894736842
102,"f__Thermomicrobiaceae","f__Thermomicrobiaceae","f",3.91313591236281,5,7,66.3157894736842
103,"p__Desulfobacterota","p__Desulfobacterota","p",2.56697384660373,2,1,9.47368421052632
104,"c__Desulfobacteria","c__Desulfobacteria","c",2.56697384660373,3,1,9.47368421052632
105,"o__Desulfobacterales","o__Desulfobacterales","o",2.56697384660373,4,1,9.47368421052632
106,"f__Desulfobacteraceae","f__Desulfobacteraceae","f",2.56697384660373,5,1,9.47368421052632
107,"p__Gemmatimonadota","p__Gemmatimonadota","p",5.65780821755886,2,4.5,42.6315789473684
108,"c__Gemmatimonadetes","c__Gemmatimonadetes","c",5.65780821755886,3,4.5,42.6315789473684
109,"o__Gemmatimonadales","o__Gemmatimonadales","o",3.74787866709519,4,4,37.8947368421053
110,"f__Gemmatimonadaceae","f__Gemmatimonadaceae","f",3.74787866709519,5,4,37.8947368421053
111,"o__Longimicrobiales","o__Longimicrobiales","o",1.90992955046367,4,5,47.3684210526316
112,"f__Longimicrobiaceae","f__Longimicrobiaceae","f",1.90992955046367,5,5,47.3684210526316
113,"p__Methylomirabilota","p__Methylomirabilota","p",3.89237955637717,2,2,18.9473684210526
114,"c__Methylomirabilia","c__Methylomirabilia","c",3.89237955637717,3,2,18.9473684210526
115,"o__Methylomirabilales","o__Methylomirabilales","o",3.89237955637717,4,2,18.9473684210526
116,"f__Methylomirabilaceae","f__Methylomirabilaceae","f",3.89237955637717,5,2,18.9473684210526
117,"p__Nitrospirota","p__Nitrospirota","p",0.463844577204115,2,3,28.4210526315789
118,"c__Nitrospiria","c__Nitrospiria","c",0.463844577204115,3,3,28.4210526315789
119,"o__Nitrospirales","o__Nitrospirales","o",0.463844577204115,4,3,28.4210526315789
120,"f__Nitrospiraceae","f__Nitrospiraceae","f",0.463844577204115,5,3,28.4210526315789
121,"p__Pseudomonadota","p__Pseudomonadota","p",19.6626030900663,2,33.5,317.368421052632
122,"c__Acidithiobacillia","c__Acidithiobacillia","c",1.79505660224827,3,31,293.684210526316
123,"o__Acidithiobacillales","o__Acidithiobacillales","o",1.79505660224827,4,31,293.684210526316
124,"f__Acidithiobacillaceae","f__Acidithiobacillaceae","f",1.79505660224827,5,31,293.684210526316
125,"c__Alphaproteobacteria","c__Alphaproteobacteria","c",9.32593926594389,3,34,322.105263157895
126,"o__Rhizobiales","o__Rhizobiales","o",2.43268368007852,4,33,312.631578947368
127,"f__Rhizobiaceae","f__Rhizobiaceae","f",2.43268368007852,5,33,312.631578947368
128,"o__Rhodospirillales","o__Rhodospirillales","o",3.5013368408844,4,34,322.105263157895
129,"f__Acetobacteraceae","f__Acetobacteraceae","f",3.5013368408844,5,34,322.105263157895
130,"o__Sphingomonadales","o__Sphingomonadales","o",3.39191874498097,4,35,331.578947368421
131,"f__Sphingomonadaceae","f__Sphingomonadaceae","f",3.39191874498097,5,35,331.578947368421
132,"c__Betaproteobacteria","c__Betaproteobacteria","c",2.44486825646491,3,32,303.157894736842
133,"o__Nitrosomonadales","o__Nitrosomonadales","o",2.44486825646491,4,32,303.157894736842
134,"f__Nitrosomonadaceae","f__Nitrosomonadaceae","f",2.44486825646491,5,32,303.157894736842
135,"c__Gammaproteobacteria","c__Gammaproteobacteria","c",6.09673896540923,3,37,350.526315789474
136,"o__Burkholderiales","o__Burkholderiales","o",3.72507738292614,4,36,341.052631578947
137,"f__Comamonadaceae","f__Comamonadaceae","f",3.72507738292614,5,36,341.052631578947
138,"o__Pseudomonadales","o__Pseudomonadales","o",1.89257873259036,4,37,350.526315789474
139,"f__Pseudomonadaceae","f__Pseudomonadaceae","f",1.89257873259036,5,37,350.526315789474
140,"o__Xanthomonadales","o__Xanthomonadales","o",0.479082849892739,4,38,360
141,"f__Xanthomonadaceae","f__Xanthomonadaceae","f",0.479082849892738,5,38,360
