"feature","environmental_variable","correlation","p_value","p_adjust","significance"
"Nitrosomonas","Fe",-0.422608695652174,0.0396517986761955,0.0656305633261167,""
"Nitrosomonas","Mn",-0.425217391304348,0.0383202247287696,0.0645393258589804,""
"Blastocatella","pH",-0.499130434782609,0.0130276637641288,0.0284239936671901,"*"
"Blastocatella","EC",0.542608695652174,0.00615275666982038,0.0142328828988616,"*"
"Blastocatella","TOC",-0.45304347826087,0.0262021363042585,0.0488428171885207,"*"
"Blastocatella","TN",-0.573043478260869,0.00342273207728045,0.00864690208997166,"**"
"Blastocatella","TP",0.433913043478261,0.0341349601326374,0.0595810213224216,""
"Blastocatella","SO4",0.631304347826087,0.000938891152861908,0.00321905538124083,"**"
"Blastocatella","NO3",-0.407826086956522,0.0479009205691721,0.0760080723081077,""
"Blastocatella","Sb_total",0.666086956521739,0.000380583166403822,0.0015547227223305,"**"
"Blastocatella","Sb_III",0.647826086956522,0.000619928547036128,0.00224577888737616,"**"
"Blastocatella","Sb_V",0.698260869565217,0.000148036020747874,0.000710572899589795,"***"
"Blastocatella","As",0.649565217391304,0.000592587629355937,0.00218801586223731,"**"
"Blastocatella","Cu",0.671304347826087,0.00032906556873774,0.00137349106951405,"**"
"Blastocatella","Zn",0.654782608695652,0.000516719100681468,0.00194529543785964,"**"
"Blastocatella","Cd",0.654782608695652,0.000516719100681468,0.00194529543785964,"**"
"Blastocatella","Fe",0.54695652173913,0.00567696542863771,0.0132924068572981,"*"
"Blastocatella","Mn",0.56695652173913,0.00386578069793891,0.00951576787184963,"**"
"Bradyrhizobium","pH",0.561739130434783,0.00428314044321915,0.010279537063726,"*"
"Bradyrhizobium","EC",-0.585217391304348,0.00266423253571701,0.00720468516700939,"**"
"Bradyrhizobium","TOC",0.575652173913043,0.00324644288725635,0.00845908947209339,"**"
"Bradyrhizobium","TN",0.613913043478261,0.00141803038426151,0.00432161640917793,"**"
"Bradyrhizobium","TP",-0.574782608695652,0.00330433182503648,0.00845908947209339,"**"
"Bradyrhizobium","SO4",-0.72,7.28590253732779e-05,0.000480300590919424,"***"
"Bradyrhizobium","NO3",0.398260869565217,0.0539147284565988,0.0848494087185817,""
"Bradyrhizobium","Sb_total",-0.719130434782609,7.504696733116e-05,0.000480300590919424,"***"
"Bradyrhizobium","Sb_III",-0.726086956521739,5.90481176374774e-05,0.000417381595326926,"***"
"Bradyrhizobium","Sb_V",-0.725217391304348,6.086814931851e-05,0.000417381595326926,"***"
"Bradyrhizobium","As",-0.744347826086956,3.03767094991192e-05,0.000391004674248291,"***"
"Bradyrhizobium","Cu",-0.726086956521739,5.90481176374774e-05,0.000417381595326926,"***"
"Bradyrhizobium","Zn",-0.700869565217391,0.000136405472399863,0.000689206597388779,"***"
"Bradyrhizobium","Cd",-0.714782608695652,8.68738011432349e-05,0.000505447570287912,"***"
"Bradyrhizobium","Fe",-0.606086956521739,0.00169409362593111,0.00508228087779332,"**"
"Bradyrhizobium","Mn",-0.673043478260869,0.000313295729995382,0.0013367284479803,"**"
"Nitrospira","pH",-0.00695652173913043,0.974264060533252,0.974264060533252,""
"Nitrospira","EC",0.0747826086956522,0.728375161557555,0.759094499693738,""
"Nitrospira","TOC",-0.0147826086956522,0.945342125773634,0.950291560987109,""
"Nitrospira","TN",-0.0504347826086956,0.814955818977567,0.836746081517074,""
"Nitrospira","TP",0.0304347826086956,0.88773393557596,0.901824950426372,""
"Nitrospira","SO4",0.135652173913043,0.527378541905856,0.581544835524079,""
"Nitrospira","NO3",-0.107826086956522,0.616015882181566,0.653453311485418,""
"Nitrospira","Sb_total",0.130434782608696,0.543525975217585,0.592530732755073,""
"Nitrospira","Sb_III",0.141739130434783,0.508832454326388,0.567999018782945,""
"Nitrospira","Sb_V",0.147826086956522,0.49061007074296,0.554100785780284,""
"Nitrospira","As",0.134782608695652,0.530053886545385,0.581544835524079,""
"Nitrospira","Cu",0.113913043478261,0.596114050669413,0.635854987380707,""
"Nitrospira","Zn",0.105217391304348,0.624627381645891,0.658947567450611,""
"Nitrospira","Cd",0.146086956521739,0.495782929684314,0.556668552628001,""
"Nitrospira","Fe",0.118260869565217,0.582067793368257,0.62434087333355,""
"Nitrospira","Mn",0.0713043478260869,0.740574687176794,0.764464193214755,""
"Cupriavidus","pH",-0.38695652173913,0.061759220209282,0.0941092879379536,""
"Cupriavidus","EC",0.414782608695652,0.0438664984807059,0.0713759975279282,""
"Cupriavidus","TOC",-0.258260869565217,0.223043218131794,0.269335206800656,""
"Cupriavidus","TN",-0.256521739130435,0.226285533405481,0.271542640086577,""
"Cupriavidus","TP",0.320869565217391,0.126321639230761,0.177034706075227,""
"Cupriavidus","SO4",0.454782608695652,0.0255615797040345,0.048592309932422,"*"
"Cupriavidus","NO3",-0.311304347826087,0.138675542669877,0.18801528948414,""
"Cupriavidus","Sb_total",0.440869565217391,0.0310553540275205,0.05572549507742,""
"Cupriavidus","Sb_III",0.441739130434783,0.0306865198856841,0.0555831303589749,""
"Cupriavidus","Sb_V",0.438260869565217,0.0321831115034619,0.0572144204505989,""
"Cupriavidus","As",0.466086956521739,0.0216983544469976,0.0435021616115563,"*"
"Cupriavidus","Cu",0.460869565217391,0.0234180698132485,0.0449626940414371,"*"
"Cupriavidus","Zn",0.483478260869565,0.0166885633176281,0.0348283060541805,"*"
"Cupriavidus","Cd",0.434782608695652,0.0337372555755502,0.05942709238996,""
"Cupriavidus","Fe",0.427826086956522,0.0370242279385605,0.0634701050375324,""
"Cupriavidus","Mn",0.341739130434783,0.102166721208182,0.150892388245931,""
